name,club,league,nation,playstyle,global_score,stats_pace,stats_shooting,stats_passing,stats_dribbling,stats_defending,stats_physicality,price,position,player_type,is_icon,is_hero
Patrick Vieira,112658,2118,18,Block,88,82,78,80,82,88,90,1500000,CM,Icon,True,False
Sam Kerr,5,2216,195,Finesse+Shot,90,85,88,74,90,42,83,41000,ST,Normal,False,False
Gabriel Teodoro Martinelli Silva,1,13,54,,83,89,78,75,85,46,72,1300,LW,Normal,False,False
Jamal Musiala,21,19,21,Technical,87,84,81,78,90,63,64,13500,CAM,Normal,False,False
Warren Zaïre-Emery,73,16,18,,80,79,68,77,80,75,78,750,CM,Normal,False,False
Julián Álvarez,240,53,52,Press+Proven,84,85,84,80,85,57,78,2200,ST,Normal,False,False
Kenny Dalglish,112658,2118,42,Pinged+Pass,88,91,86,82,84,40,70,97500,ST,Winter Wildcard ICON,True,False
David Beckham,112658,2118,14,Dead+Ball,88,80,85,92,85,66,80,0,RM,Icon,True,False
Ruud Gullit,112658,2118,34,Aerial,90,85,88,88,86,80,87,595000,CAM,Icon,True,False
Arthur Antunes Coimbra,112658,2118,54,Dead+Ball,91,89,92,91,91,62,71,300000,CAM,Icon,True,False
Paolo Maldini,112658,2118,27,Slide+Tackle,92,85,55,74,69,95,82,715000,CB,Icon,True,False
Birgit Prinz,112658,2118,21,Aerial,92,83,92,80,82,52,88,69500,ST,Icon,True,False
Iker Casillas Fernández,112658,2118,45,Footwork,90,90,88,84,93,59,88,159000,GK,Icon,True,False
Marcos de Morais,112658,2118,54,Relentless,91,90,56,83,85,88,83,445000,RB,Icon,True,False
Thierry Henry,112658,2118,18,Rapid,91,93,90,82,89,51,78,485000,ST,Icon,True,False
Lionel Messi,112893,39,52,Technical,88,79,85,87,92,33,64,15000,RW,Normal,False,False
Phil Foden,10,13,14,Technical,88,86,86,85,90,57,63,13750,RW,Normal,False,False
Endrick Felipe Moreira de Sousa,243,53,54,Rapid,93,94,91,80,92,46,80,730000,ST,Future Stars,False,False
Lev Yashin,112658,2118,40,Cross+Claimer,92,93,89,75,94,60,93,338000,GK,Icon,True,False
Paulo Dybala,52,31,52,First+Touch,87,80,85,84,89,41,65,9200,CAM,Normal,False,False
Ian Wright,112658,2118,14,Chip+Shot,87,88,89,69,81,40,76,70000,ST,Icon,True,False
Julie Foudy,112658,2118,95,Relentless,90,80,84,88,87,76,81,72500,CM,Icon,True,False
Franck Ribéry,112658,2118,18,Technical,88,89,85,85,90,37,65,215000,LM,Icon,True,False
Heung Min Son,18,13,167,Finesse+Shot,87,87,89,81,85,42,73,12500,ST,Normal,False,False
Omar Marmoush,10,13,111,,79,89,78,66,83,32,71,650,ST,normal,False,False
Gianluca Vialli,114605,31,27,Relentless,89,86,89,72,83,42,79,20750,ST,Base Hero,False,True
Marcus Rashford,2,13,14,Power+Shot,81,89,83,76,82,33,64,2100,LM,normal,False,False
Rodrygo Silva de Goes,243,53,54,,86,89,81,79,88,31,64,6800,RW,Normal,False,False
José Roberto da Silva Júnior,114605,19,54,Technical,87,87,79,86,89,78,80,43250,LM,Base Hero,False,True
Mario Gomez,114605,19,21,Power+Header,88,83,90,73,82,43,83,16000,ST,Base Hero,False,True
Rúben Santos Gato Alves Dias,10,13,38,Bruiser,88,67,39,70,69,89,87,13500,CB,Normal,False,False
Selma Bacha,66,2218,18,Whipped+Pass,86,87,73,85,82,79,79,7100,LB,Normal,False,False
Salma Celeste Paralluelo Ayingono,241,2222,45,,79,93,79,71,80,45,76,1300,LW,Normal,False,False
Celia Šašic,114605,2215,21,Press+Proven,93,90,93,81,90,53,91,84000,ST,World Cup Showdown,False,False
Jay-Jay Okocha,114605,13,133,Trickster,88,87,83,83,93,40,60,40500,CAM,Base Hero,False,True
Yaya Touré,114605,13,108,Incisive+Pass,87,78,83,86,84,80,89,236000,CDM,Base Hero,False,True
Karim Adeyemi,22,19,21,Quick+Step,79,96,73,71,81,34,70,1000,LM,Normal,False,False
Nicholas Williams Arthuer,448,53,45,Rapid,85,93,75,78,86,36,65,4900,LM,Normal,False,False
Mallory Swanson,116305,2221,95,,87,89,81,80,85,42,71,12000,LM,Normal,False,False
David Alaba,243,53,4,,85,79,71,83,80,85,77,4100,CB,Normal,False,False
Federico Dimarco,131682,31,27,,84,80,77,84,83,78,81,1700,LB,Normal,False,False
Wesley Sneijder,114605,31,34,Incisive+Pass,88,81,84,90,86,53,75,40000,CAM,Base Hero,False,True
Sol Campbell,112658,2118,14,Slide+Tackle,86,81,45,60,58,87,88,106000,CB,Icon,True,False
Yao Kouassi,114605,31,108,Trickster,93,96,88,91,95,45,77,1500000,LW,FUT Birthday Hero,False,True
Seydou Doumbia,114605,31,108,Quick+Step,93,96,92,88,93,50,83,3240000,ST,FUT Birthday Hero,False,True
Victor Ibarbo,114605,31,56,Trivela,93,96,91,90,94,48,88,2410000,RW,FUT Birthday Hero,False,True
Nadine Angerer,112658,2118,21,Far+Reach,92,92,88,79,94,59,92,80000,GK,Icon,True,False
Gerd Müller,112658,2118,21,Finesse+Shot,92,87,92,76,85,44,74,74000,ST,Icon,True,False
Kadidiatou Diani,66,2218,18,,88,90,85,81,88,56,79,14000,RW,Normal,False,False
Xavi Simons,112172,19,34,,83,81,77,80,86,61,71,900,CAM,Normal,False,False
Lothar Matthäus,112658,2118,21,Power+Shot,90,88,87,88,81,89,82,276000,CM,Icon,True,False
Raúl González Blanco,112658,2118,45,Finesse+Shot,90,86,90,80,88,45,72,70000,ST,Icon,True,False
Franco Baresi,112658,2118,27,Slide+Tackle,91,73,48,75,70,94,83,69500,CB,Icon,True,False
Carlos Alberto Torres,112658,2118,54,Anticipate,91,89,64,80,84,88,85,350000,RB,Icon,True,False
Rivaldo Vítor Borba Ferreira,112658,2118,54,Technical,90,87,88,87,91,42,75,89000,LW,Icon,True,False
Homare Sawa,112658,2118,163,Relentless,91,84,87,91,91,83,76,80500,CM,Icon,True,False
Robert Lewandowski,241,53,37,Chip+Shot,88,75,88,79,86,44,84,13750,ST,Normal,False,False
Joshua Kimmich,21,19,21,Long+Ball+Pass,86,69,74,88,84,81,77,5200,RB,Normal,False,False
Gareth Bale,112658,2118,50,Rapid,88,95,89,84,89,65,79,495000,RW,Icon,True,False
Eric Cantona,112658,2118,18,Power+Shot,89,86,89,86,89,50,88,75000,ST,Icon,True,False
Aya Miyama,112658,2118,163,Dead+Ball,90,84,86,88,90,60,70,68000,LM,Icon,True,False
Roberto Carlos da Silva Rocha,112658,2118,54,Dead+Ball,90,91,83,83,80,85,86,491000,LB,Icon,True,False
Lautaro Martínez,131682,31,52,Finesse+Shot,89,82,88,75,87,54,85,20000,ST,Normal,False,False
Camille Abily,112658,2118,18,Tiki+Taka,90,82,89,90,89,80,78,69500,CM,Icon,True,False
Lindsey Horan,66,2218,95,Incisive+Pass,86,77,84,86,84,63,79,5900,CM,Normal,False,False
Florian Wirtz,32,19,21,Incisive+Pass,88,81,78,87,89,50,67,13250,CAM,Normal,False,False
Antonio Rüdiger,243,53,21,Bruiser,88,82,55,73,70,86,86,14000,CB,Normal,False,False
Federico Valverde,243,53,60,Power+Shot,88,88,82,84,84,80,84,39500,CM,Normal,False,False
Emilio Butragueño Santos,112658,2118,45,Technical,89,92,89,78,90,40,65,81000,ST,Icon,True,False
Bradley Barcola,73,16,18,,80,88,74,75,81,34,64,700,LW,Normal,False,False
Amad Diallo,11,13,108,Incisive+Pass,86,92,83,86,85,45,62,34000,RB,IF,False,False
Rio Ferdinand,112658,2118,14,Anticipate,88,82,48,65,64,90,85,343000,CB,Icon,True,False
Alexis Mac Allister,9,13,52,Pinged+Pass,86,69,82,85,84,76,76,5200,CM,Normal,False,False
Bruno Miguel Borges Fernandes,11,13,38,Long+Ball+Pass,87,70,85,88,83,65,75,9200,CAM,Normal,False,False
Didier Drogba,112658,2118,108,Power+Shot,89,87,90,74,80,44,87,107000,ST,Icon,True,False
João Félix Sequeira,5,13,38,,80,80,78,77,84,40,67,650,LW,Normal,False,False
José María Gutiérrez Hernández,114605,53,45,Incisive+Pass,86,77,82,88,85,63,73,15750,CM,Base Hero,False,True
Crystal Dunn,116310,2221,95,,84,87,79,83,85,77,80,1600,CM,Normal,False,False
Donyell Malen,2,13,34,,83,89,81,74,85,35,72,900,RM,normal,False,False
Moisés Caicedo,5,13,57,,82,75,63,75,78,79,78,650,CDM,Normal,False,False
Enzo Francescoli,114605,353,60,First+Touch,88,86,88,83,90,44,72,15000,CAM,Base Hero,False,True
Laura Georges,114605,2218,18,Anticipate,87,85,48,66,67,87,86,34500,CB,Base Hero,False,True
Joe Cole,114605,13,14,Technical,87,88,84,86,90,51,72,18000,RW,Base Hero,False,True
Alphonso Davies,21,19,70,,82,95,66,77,84,72,76,1400,LB,Normal,False,False
Keira Walsh,5,2216,14,Pinged+Pass,85,64,46,81,79,79,74,2600,CDM,normal,False,False
Fara Williams,114605,2216,14,Flair,86,80,87,87,85,72,75,12250,CM,Base Hero,False,True
Jari Litmanen,114605,10,17,First+Touch,88,82,87,83,83,35,65,14750,CAM,Base Hero,False,True
Jamie Carragher,114605,13,14,Block,86,70,52,68,67,87,84,12500,CB,Base Hero,False,True
Robbie Keane,114605,13,25,Power+Shot,85,90,84,72,90,47,72,197550,ST,Flashback Hero,False,True
Dennis Bergkamp,112658,2118,34,First+Touch,90,83,89,84,88,35,76,70000,ST,Icon,True,False
Chloe Kelly,1,2216,14,,86,88,79,85,85,43,68,5500,RW,normal,False,False
Trent Alexander-Arnold,9,13,14,Whipped+Pass,86,75,72,90,80,80,74,5200,RB,Normal,False,False
Marcus Thuram,131682,31,18,,83,87,81,77,82,50,84,900,ST,Normal,False,False
Alejandro Garnacho Ferreyra,11,13,52,,79,86,75,72,81,37,59,650,LM,Normal,False,False
Claudio Marchisio,114605,31,27,,87,82,81,85,86,80,82,27750,CM,Base Hero,False,True
Marco van Basten,112658,2118,34,Acrobatic,91,84,92,74,87,37,73,69000,ST,Icon,True,False
Michaël Essien,112658,2118,117,Jockey,86,82,73,77,78,85,86,68000,CDM,Icon,True,False
Iñigo Martínez Berridi,241,53,45,,81,71,56,67,61,81,80,650,CB,Normal,False,False
Ella Toone,11,2216,14,Flair,84,81,79,78,86,51,65,2000,CAM,Normal,False,False
Harry Maguire,11,13,14,,80,37,57,70,65,80,82,1300,CB,Normal,False,False
Pablo Martín Páez Gavira,241,53,45,,83,76,66,78,85,68,70,900,CM,Normal,False,False
Wlodzimierz Smolarek,114605,19,37,Press+Proven,92,95,91,86,94,50,89,210000,ST,FUT Birthday Hero,False,True
Sidney Govou,114605,16,18,Power+Shot,86,89,89,80,88,55,70,13250,ST,Base Hero,False,True
Gary Lineker,112658,2118,14,Chip+Shot,89,86,89,71,84,40,75,71500,ST,Icon,True,False
Marinette Pichon,112658,2118,18,Acrobatic,88,85,89,80,88,44,75,71000,ST,Icon,True,False
Carlos Tévez,114605,13,52,Relentless,88,85,89,80,86,46,89,20750,ST,Base Hero,False,True
Celia Šašić,114605,2215,21,Aerial,89,82,89,76,84,49,85,20000,ST,Base Hero,False,True
Gianluigi Buffon,112658,2118,27,Far+Reach,87,92,83,76,90,52,90,281650,GK,On This Day SBC,False,False
Kai Havertz,1,13,21,,83,77,81,80,82,49,72,900,ST,Normal,False,False
Lucimar da Silva Ferreira,114605,31,54,Block,89,82,72,74,77,91,89,168000,CB,Base Hero,False,True
Jair Ventura Filho,112658,2118,54,Rapid,89,91,89,84,90,49,73,274000,RW,Icon,True,False
Kelly Smith,112658,2118,14,Dead+Ball,89,88,90,84,89,46,77,70000,ST,Icon,True,False
Wayne Rooney,112658,2118,14,Power+Shot,88,88,90,81,86,53,87,118000,ST,Icon,True,False
Alessandro Del Piero,112658,2118,27,Finesse+Shot,90,83,90,87,91,41,66,70000,CAM,Icon,True,False
Frenkie de Jong,241,53,34,Trivela,87,82,69,86,87,77,78,9000,CM,Normal,False,False
Xavier Hernández Creus,112658,2118,45,Tiki+Taka,90,80,76,92,90,69,69,68000,CM,Icon,True,False
Neymar da Silva Santos Jr.,605,350,54,Trickster,87,85,79,84,92,37,60,20000,LW,Normal,False,False
Eduardo Camavinga,243,53,18,,83,80,67,81,84,78,80,900,CM,Normal,False,False
Alisson Ramses Becker,9,13,54,Deflector,89,86,85,85,89,56,90,20000,GK,Normal,False,False
Éder Gabriel Militão,243,53,54,,85,85,50,69,71,85,82,4300,CB,Normal,False,False
Kyle Walker,131681,31,14,,84,89,64,77,78,79,81,1700,RB,normal,False,False
Ronald Koeman,112658,2118,34,Dead+Ball,88,76,86,85,78,88,84,69000,CB,Icon,True,False
Marcos Aoás Corrêa,73,16,54,Intercept,87,79,56,75,74,89,81,9200,CB,Normal,False,False
Fabio Cannavaro,112658,2118,27,Intercept,89,80,44,62,67,93,83,73500,CB,Icon,True,False
Jeremie Frimpong,32,19,34,,84,93,62,75,86,75,69,1300,RM,Normal,False,False
George Best,112658,2118,35,Technical,90,91,89,82,92,56,68,146000,RW,Icon,True,False
Jamie Gittens,22,19,14,Quick+Step,89,95,86,85,91,40,71,87000,LM,FC Pro,False,False
Benjamin Šeško,112172,19,44,,79,85,78,63,77,46,78,650,ST,Normal,False,False
Leny Yoro,11,13,18,,78,73,41,59,61,79,73,350,CB,Normal,False,False
Bobby Moore,112658,2118,14,Anticipate,90,70,62,81,76,92,83,69000,CB,Icon,True,False
Lotta Schelin,112658,2118,46,Finesse+Shot,90,91,89,82,89,46,82,68000,ST,Icon,True,False
Andrea Pirlo,112658,2118,27,Long+Ball+Pass,90,73,79,93,89,69,66,70000,CM,Icon,True,False
João Pedro Gonçalves Neves,73,16,38,,79,81,68,75,80,75,80,650,CM,Normal,False,False
Linda Caicedo,243,2222,56,,79,86,70,79,80,38,47,350,LW,Normal,False,False
Luís Filipe Madeira Caeiro Figo,112658,2118,38,Technical,89,89,84,86,90,38,77,70000,RW,Icon,True,False
Alan Shearer,112658,2118,14,Power+Header,89,82,91,76,78,49,84,70500,ST,Icon,True,False
Bastian Schweinsteiger,112658,2118,21,Pinged+Pass,89,78,84,89,86,84,85,127000,CM,Squad Found. C.L.,False,False
Hristo Stoichkov,112658,2118,9,Technical,89,90,91,84,90,49,84,85000,ST,Icon,True,False
Ronald Araujo,241,53,60,Block,85,82,53,64,62,85,84,4500,CB,Normal,False,False
Tabitha Chawinga,66,2218,125,,84,94,81,70,84,36,78,1400,ST,Normal,False,False
Michael Olise,21,19,18,,82,80,77,82,84,53,56,650,RM,Normal,False,False
Jamie Vardy,95,13,14,Quick+Step,91,99,92,85,86,66,85,410000,ST,Grassroot Greats,False,False
Marek Hamšík,114605,31,43,Power+Shot,87,83,87,87,86,75,83,71500,CAM,Base Hero,False,True
Jaap Stam,114605,13,34,Bruiser,87,83,52,62,68,89,88,290000,CB,Base Hero,False,True
Babajide,116332,2222,133,Trivela,91,95,90,84,89,64,87,33750,LW,Fantasy FC,False,False
Randal Kolo Muani,45,31,18,,82,90,80,71,81,38,67,750,ST,normal,False,False
Darwin Núñez,9,13,60,,82,90,80,72,78,46,86,650,ST,Normal,False,False
Benjamin Pavard,131682,31,18,Jockey,84,75,67,75,75,86,81,1200,CB,Normal,False,False
Juan Camilo Hernández Suárez,449,53,56,,78,83,77,73,78,42,77,650,ST,normal,False,False
Tim Howard,114605,13,95,Far+Throw,85,85,82,87,86,54,84,15750,GK,Base Hero,False,True
Fridolina Rolfö,241,2222,46,Jockey,86,82,83,82,87,83,84,5900,LB,Normal,False,False
Francisco Román Alarcón Suárez,449,53,45,,82,66,74,82,83,59,59,650,CAM,Normal,False,False
Lena Oberdorf,21,2215,21,Bruiser,86,62,62,76,75,87,89,5300,CDM,Normal,False,False
Moussa Diaby,607,350,18,Quick+Step,83,95,75,74,86,43,53,900,RM,Normal,False,False
Rabiot,219,16,18,,83,82,76,80,79,82,86,900,CM,normal,False,False
Jhon Durán,2,13,56,Power+Shot,84,88,87,68,83,42,87,16500,ST,Trailblazers,False,False
Ledley King,114605,13,14,Anticipate,86,80,55,69,72,89,80,18500,CB,Base Hero,False,True
Emmanuel Petit,112658,2118,18,Relentless,87,77,77,79,76,85,87,94000,CDM,Icon,True,False
Alexandra Popp,175,2215,21,Power+Header,87,76,87,75,80,52,90,9000,ST,Normal,False,False
Antônia da Costa Silva,243,2222,54,,82,81,48,73,80,80,81,750,RB,Normal,False,False
Yui Hasegawa,10,2216,163,,84,78,71,84,86,79,63,1500,CDM,Normal,False,False
Matheus Santos Carneiro Da Cunha,110,13,54,,79,84,78,76,83,44,75,650,ST,Normal,False,False
Serge Gnabry,21,19,21,,82,80,83,78,84,43,66,700,RM,Normal,False,False
Wilfried Zaha,114640,39,108,,81,86,78,73,85,37,75,650,LM,normal,False,False
Ricardo Alberto Silveira Carvalho,114605,308,38,Anticipate,88,77,56,71,73,91,82,16500,CB,Base Hero,False,True
Maicon Douglas Sisenando,114605,31,54,Whipped+Pass,88,86,82,81,84,83,85,80000,RB,Base Hero,False,True
Cristian Romero,18,13,52,,84,68,46,59,66,85,81,1200,CB,Normal,False,False
Vivianne Miedema,10,2216,34,,85,82,84,70,85,32,80,2600,ST,Normal,False,False
Morgan,116312,2221,95,Finesse+Shot,90,85,90,81,89,50,77,317750,ST,End of an Era SBC,False,False
Gianluigi Donnarumma,73,16,27,Deflector,89,90,84,73,90,52,87,20000,GK,Normal,False,False
Ruud van Nistelrooy,112658,2118,34,First+Touch,89,84,89,71,83,38,80,67500,ST,Icon,True,False
Thibaut Courtois,243,53,7,Rush+Out,89,85,89,76,90,46,88,20000,GK,Normal,False,False
Sacha Boey,21,19,18,,79,82,55,66,77,78,80,650,RB,Normal,False,False
Victor Osimhen,325,68,133,,87,89,84,65,81,42,82,8900,ST,Normal,False,False
Lorenzo Insigne,111651,39,27,,78,79,77,79,81,36,44,350,LW,Normal,False,False
Exequiel Palacios,32,19,52,,84,69,76,79,82,82,73,1200,CM,Normal,False,False
Ryan Gravenberch,9,13,34,,78,71,76,77,81,68,73,650,CM,Normal,False,False
Bukayo Saka,1,13,14,,87,85,83,81,88,60,70,9000,RW,Normal,False,False
Viktor Gyökeres,237,308,46,,84,90,83,67,80,36,91,1300,ST,Normal,False,False
Fernando Hierro Ruiz,112658,2118,45,Bruiser,88,74,67,74,68,92,84,71000,CB,Icon,True,False
Lilian Thuram,112658,2118,18,Slide+Tackle,88,88,58,76,75,90,90,489000,RB,Icon,True,False
Juan Román Riquelme,112658,2118,52,Flair,88,71,84,90,90,33,66,69500,CAM,Icon,True,False
Nicolò Barella,131682,31,27,Relentless,87,81,78,83,86,80,82,9200,CM,Normal,False,False
Ewa Pajor,241,2222,37,Rapid,87,88,88,63,89,21,70,8900,ST,Normal,False,False
Marcel Desailly,112658,2118,18,Block,88,82,51,65,66,88,88,95000,CB,Icon,True,False
Patricia Guijarro Gutiérrez,241,2222,45,Long+Ball+Pass,88,78,82,83,87,85,77,13750,CDM,Normal,False,False
Philipp Lahm,112658,2118,21,Intercept,89,84,68,83,83,86,70,69500,RB,Icon,True,False
Martin Ødegaard,1,13,36,Incisive+Pass,89,70,82,89,89,67,66,19000,CM,Normal,False,False
Luís Carlos Almeida da Cunha,718,308,38,Trickster,90,87,87,88,90,50,85,186850,LM,End of an Era SBC,False,False
Sócrates Vieira de Oliveira,112658,2118,54,Incisive+Pass,89,82,88,89,88,43,82,70000,CAM,Icon,True,False
Declan Rice,1,13,14,,87,73,72,82,79,84,85,13500,CDM,Normal,False,False
Vincent Kompany,114605,13,7,Anticipate,88,80,60,68,70,90,86,50000,CB,Base Hero,False,True
Carles Puyol Saforcada,112658,2118,45,Block,89,72,46,66,59,91,88,71500,CB,Icon,True,False
María Pilar León Cebrián,241,2222,45,Intercept,89,75,73,83,76,90,82,20750,CB,Normal,False,False
Rodríguez,480,53,56,Power+Shot,90,86,90,89,86,65,77,57500,CAM,NumeroFUT,False,False
Jill Roord,10,2216,34,,86,75,84,84,85,52,73,5400,CAM,Normal,False,False
Lewis Dunk,1808,13,14,,79,41,52,68,65,80,80,350,CB,Normal,False,False
Leon Goretzka,21,19,21,,83,70,80,80,81,80,85,900,CM,Normal,False,False
Kevin Trapp,1824,19,21,,82,82,80,76,84,46,79,650,GK,Normal,False,False
Alejandro Balde Martínez,241,53,45,,81,91,48,73,78,75,64,650,LB,Normal,False,False
Cuadrado,115845,31,56,,79,83,74,78,83,75,66,700,RM,normal,False,False
Jordan Pickford,7,13,14,,83,83,78,88,87,53,80,900,GK,Normal,False,False
Alejandro Remiro Gargallo,457,53,45,,84,84,79,80,86,42,86,1200,GK,Normal,False,False
Christiane Endler,66,2218,55,Rush+Out,88,87,82,84,90,42,89,14250,GK,Normal,False,False
Ouleymata Sarr,116304,2221,18,,83,90,79,77,83,45,78,900,ST,Normal,False,False
João Pedro Cavaco Cancelo,605,350,38,,86,81,73,85,85,80,72,5100,LB,Normal,False,False
Marta Vieira da Silva,116307,2221,54,Flair,84,72,82,85,88,44,74,1300,CAM,Normal,False,False
Xabier Alonso Olano,112658,2118,45,Long+Ball+Pass,87,71,77,86,78,82,80,70000,CDM,Icon,True,False
Lucas Lopes Beraldo,73,16,54,,86,80,43,70,78,86,86,34200,CB,Ultimate Succession,False,False
Robin van Persie,112658,2118,34,First+Touch,88,84,91,84,87,45,73,70000,ST,Icon,True,False
Mary Fowler,10,2216,195,Tiki+Taka,90,90,88,84,90,60,80,35750,ST,Future Stars,False,False
Pau Cubarsí Paredes,241,53,45,Anticipate,90,88,41,83,88,91,83,464000,CB,Future Stars,False,False
Alessandro Nesta,112658,2118,27,Slide+Tackle,89,76,44,63,68,92,84,70500,CB,Icon,True,False
Frank Lampard,112658,2118,14,Relentless,86,84,86,85,87,80,84,113100,CM,On This Day SBC,False,False
Fernando José Torres Sanz,112658,2118,45,Finesse+Shot,87,89,87,75,85,43,75,77000,ST,Icon,True,False
Patrick Kluivert,112658,2118,34,Power+Header,87,84,86,76,81,40,79,69500,ST,Icon,True,False
N'Golo Kanté,607,350,18,Intercept,85,76,65,73,80,85,78,2800,CDM,Normal,False,False
Pascal Groß,22,19,21,,81,50,77,85,80,73,74,450,CDM,Normal,False,False
Ollie Watkins,2,13,14,,85,85,83,73,80,50,83,2700,ST,Normal,False,False
Roy Keane,112658,2118,25,Pinged+Pass,86,72,69,82,78,84,87,70000,CM,Icon,True,False
Abedi Ayew,114605,16,117,Rapid,89,91,83,87,91,48,66,23500,CAM,Base Hero,False,True
Diogo José Teixeira da Silva,9,13,38,,85,82,82,75,84,57,79,3600,ST,Normal,False,False
Ferland Mendy,243,53,18,,84,89,64,76,76,81,85,5500,LB,Normal,False,False
