name,club,league,nation,playstyle,global_score,stats_pace,stats_shooting,stats_passing,stats_dribbling,stats_defending,stats_physicality,price,position,player_type,is_icon,is_hero
Sam Kerr,5,2216,195,Finesse+Shot,90,85,88,74,90,42,83,38000,ST,Normal,False,False
Gabriel Teodoro Martinelli Silva,1,13,54,Technical,91,95,86,85,93,63,82,469000,LM,NumeroFUT,False,False
Jamal Musiala,21,19,21,Technical,90,88,86,84,92,65,73,39750,CAM,TOTY Honourable Ment,False,False
Warren Zaïre-Emery,73,16,18,Intercept,94,92,83,91,94,90,92,1440000,CM,FUT Birthday,False,False
Julián Álvarez,240,53,52,Press+Proven,92,89,92,85,89,62,86,220000,ST,Champions League,False,False
Kenny Dalglish,112658,2118,42,Finesse+Shot,89,89,90,75,88,41,72,75000,ST,Icon,True,False
David Beckham,112658,2118,14,Incisive+Pass,91,85,88,94,88,72,83,268000,RM,Squad Found. C.L.,False,False
Ruud Gullit,112658,2118,34,Aerial,90,85,88,88,86,80,87,675000,CAM,Icon,True,False
Arthur Antunes Coimbra,112658,2118,54,Dead+Ball,91,89,92,91,91,62,71,320000,CAM,Icon,True,False
Paolo Maldini,112658,2118,27,Slide+Tackle,92,85,55,74,69,95,82,799000,CB,Icon,True,False
Birgit Prinz,112658,2118,21,Aerial,92,83,92,80,82,52,88,72000,ST,Icon,True,False
Iker Casillas Fernández,112658,2118,45,Footwork,90,90,88,84,93,59,88,172000,GK,Icon,True,False
Marcos de Morais,112658,2118,54,Relentless,91,90,56,83,85,88,83,479000,RB,Icon,True,False
Thierry Henry,112658,2118,18,Rapid,91,93,90,82,89,51,78,598000,ST,Icon,True,False
Lionel Messi,112893,39,52,Technical,89,81,86,89,93,34,65,66000,RW,IF,False,False
Phil Foden,10,13,14,Technical,92,92,91,89,95,62,67,460000,RW,Thunderstruck,False,False
Endrick Felipe Moreira de Sousa,243,53,54,Rapid,93,94,91,80,92,46,80,770000,ST,Future Stars,False,False
Lev Yashin,112658,2118,40,Cross+Claimer,92,93,89,75,94,60,93,366000,GK,Icon,True,False
Paulo Dybala,52,31,52,First+Touch,92,85,89,89,93,48,72,295000,CAM,Europa League,False,False
Ian Wright,112658,2118,14,Quick+Step,93,94,95,80,90,46,84,903000,ST,GrassrootGreatsIcon,True,False
Julie Foudy,112658,2118,95,Relentless,90,80,84,88,87,76,81,71500,CM,Icon,True,False
Franck Ribéry,112658,2118,18,Technical,91,91,88,88,92,42,70,569000,LM,Squad Found. C.L.,False,False
Heung Min Son,18,13,167,Press+Proven,90,91,93,85,89,47,77,375000,ST,Winter Wildcards,False,False
Omar Marmoush,10,13,111,Power+Shot,93,96,90,87,93,46,84,1640000,CAM,Fantasy FC,False,False
Gianluca Vialli,114605,31,27,Relentless,89,86,89,72,83,42,79,24500,ST,Base Hero,False,True
Martin Ødegaard,1,13,36,Incisive+Pass,89,70,82,89,89,67,66,22750,CM,Normal,False,False
Marcus Rashford,11,13,14,Power+Shot,92,96,92,87,92,46,81,846000,LM,Thunderstruck,False,False
Rodrygo Silva de Goes,243,53,54,Technical,91,94,88,88,93,36,73,0,RW,Mode Mastery,False,False
José Roberto da Silva Júnior,114605,19,54,Technical,89,89,82,88,91,80,83,159000,LM,Prime Hero,False,True
Mario Gomez,114605,19,21,Aerial,93,91,95,82,90,48,88,592000,ST,Fantasy FC Hero,False,True
Selma Bacha,66,2218,18,Jockey,93,93,80,90,86,88,86,75500,LB,FUT Birthday,False,False
Celia Šašic,114605,2215,21,Press+Proven,93,90,93,81,90,53,91,76000,ST,World Cup Showdown,False,False
Jay-Jay Okocha,114605,13,133,Quick+Step,93,92,88,90,98,45,75,428000,CAM,World Cup Showdown,False,False
Saeed Al Owairan,114605,350,183,Trickster,93,99,90,88,92,42,81,0,RW,FUT Birthday Hero,False,True
Yaya Touré,114605,13,108,Finesse+Shot,89,82,85,88,87,83,91,327000,CM,Prime Hero,False,True
Karim Adeyemi,22,19,21,Quick+Step,93,99,88,85,93,50,85,582800,LM,FUT Birthday SBC,False,False
Nicholas Williams Arthuer,448,53,45,First+Touch,93,99,84,88,94,50,75,770000,LM,FUT Birthday,False,False
Mallory Swanson,116305,2221,95,,89,91,85,83,87,44,73,224200,LM,Total Rush SBC,False,False
David Alaba,243,53,4,Intercept,93,90,80,93,88,90,85,264000,CB,FUT Birthday,False,False
Federico Dimarco,131682,31,27,,89,87,85,89,88,84,86,55500,LB,Champions League,False,False
Wesley Sneijder,114605,31,34,Tiki+Taka,93,90,90,95,91,60,80,988000,CAM,FUT Birthday Hero,False,True
Sol Campbell,112658,2118,14,Slide+Tackle,93,90,52,70,70,94,95,1700000,CB,FUT Birthday Icon,True,False
Yao Kouassi,114605,31,108,Trickster,93,96,88,91,95,45,77,2450000,LW,FUT Birthday Hero,False,True
Seydou Doumbia,114605,31,108,Quick+Step,93,96,92,88,93,50,83,6600000,ST,FUT Birthday Hero,False,True
Victor Ibarbo,114605,31,56,Trivela,93,96,91,90,94,48,88,3580000,RW,FUT Birthday Hero,False,True
Nadine Angerer,112658,2118,21,Far+Reach,92,92,88,79,94,59,92,98000,GK,Icon,True,False
Gerd Müller,112658,2118,21,Finesse+Shot,92,87,92,76,85,44,74,100000,ST,Icon,True,False
Kadidiatou Diani,66,2218,18,Rapid,90,92,88,84,90,59,82,33250,RM,SIF,False,False
Xavi Simons,112172,19,34,Tiki+Taka,92,90,86,91,93,70,80,409000,CAM,FC Pro,False,False
Lothar Matthäus,112658,2118,21,Power+Shot,90,88,87,88,81,89,82,296000,CM,Icon,True,False
Raúl González Blanco,112658,2118,45,Finesse+Shot,90,86,90,80,88,45,72,71500,ST,Icon,True,False
Franco Baresi,112658,2118,27,Slide+Tackle,91,73,48,75,70,94,83,80000,CB,Icon,True,False
Carlos Alberto Torres,112658,2118,54,Anticipate,91,89,64,80,84,88,85,378000,RB,Icon,True,False
Rivaldo Vítor Borba Ferreira,112658,2118,54,Technical,90,87,88,87,91,42,75,108000,LW,Icon,True,False
Homare Sawa,112658,2118,163,Relentless,91,84,87,91,91,83,76,90000,CM,Icon,True,False
Robert Lewandowski,241,53,37,Chip+Shot,89,77,89,81,87,45,85,28250,ST,IF,False,False
Joshua Kimmich,21,19,21,Anticipate,92,88,80,94,90,92,87,1740000,CDM,Flashback SBC,False,False
Gareth Bale,112658,2118,50,Acrobatic,92,98,93,90,93,70,83,2420000,ST,TOTY Icon SBC,True,False
Eric Cantona,112658,2118,18,Power+Shot,89,86,89,86,89,50,88,77500,ST,Icon,True,False
Aya Miyama,112658,2118,163,Dead+Ball,90,84,86,88,90,60,70,71500,LM,Icon,True,False
Roberto Carlos da Silva Rocha,112658,2118,54,Dead+Ball,90,91,83,83,80,85,86,577000,LB,Icon,True,False
Camille Abily,112658,2118,18,Tiki+Taka,90,82,89,90,89,80,78,72500,CM,Icon,True,False
Florian Wirtz,32,19,21,Incisive+Pass,89,82,80,88,90,52,68,29500,CAM,IF,False,False
Antonio Rüdiger,243,53,21,Bruiser,92,87,60,77,77,90,90,400000,CB,TOTY Honourable Ment,False,False
Federico Valverde,243,53,60,Power+Shot,89,89,83,86,85,82,85,136000,CM,IF,False,False
Roberto Firmino Barbosa de Oliveira,112387,350,54,Incisive+Pass,92,90,91,90,93,75,86,0,CAM,Objectives,False,False
Emilio Butragueño Santos,112658,2118,45,Technical,89,92,89,78,90,40,65,79000,ST,Icon,True,False
Bradley Barcola,73,16,18,,89,93,85,86,91,44,76,190000,LW,Champions League,False,False
Amad Diallo,11,13,108,Incisive+Pass,92,96,89,91,90,51,70,478000,RM,Future Stars,False,False
Rio Ferdinand,112658,2118,14,Anticipate,92,86,52,70,73,93,88,2140000,CB,Future Stars Icon,True,False
Alexis Mac Allister,9,13,52,Incisive+Pass,90,85,87,90,90,83,83,0,CM,Champs Mastery,False,False
Bruno Miguel Borges Fernandes,11,13,38,Tiki+Taka,92,85,90,92,90,80,82,364000,CAM,Grassroot Greats,False,False
Didier Drogba,112658,2118,108,Power+Shot,89,87,90,74,80,44,87,105000,ST,Icon,True,False
João Félix Sequeira,131681,31,38,Trickster,92,93,92,89,93,48,82,1180000,LW,Fantasy FC SBC,False,False
José María Gutiérrez Hernández,114605,53,45,Press+Proven,92,90,91,94,92,85,88,684100,CM,Fantasy FC Hero SBC,False,True
Crystal Dunn,73,2218,95,Relentless,92,92,84,87,92,85,85,59500,CM,Fantasy FC,False,False
Donyell Malen,22,19,34,Quick+Step,89,93,86,81,89,40,80,0,RM,FUT Centurions,False,False
Moisés Caicedo,5,13,57,Intercept,92,87,79,91,88,92,89,415000,CDM,Fantasy FC,False,False
Enzo Francescoli,114605,16,60,Incisive+Pass,92,90,92,90,94,48,76,190000,CAM,Fantasy FC Hero,False,True
Laura Georges,114605,2218,18,Anticipate,89,87,50,70,70,89,88,94000,CB,Prime Hero,False,True
Joe Cole,114605,13,14,Trivela,92,93,91,92,95,56,82,135000,RW,Fantasy FC Hero,False,True
Maicon Douglas Sisenando,114605,31,54,Whipped+Pass,90,88,85,84,86,86,87,164000,RB,Prime Hero,False,True
Alphonso Davies,21,19,70,Jockey,92,98,72,86,90,83,86,840000,LB,Fantasy FC,False,False
Keira Walsh,5,2216,14,Jockey,92,88,70,93,88,93,86,86000,CDM,Fantasy FC,False,False
Fara Williams,114605,2216,14,Pinged+Pass,92,90,94,94,91,85,84,270000,CM,Fantasy FC Hero,False,True
Jari Litmanen,114605,53,17,Trivela,92,88,92,90,90,40,75,57000,CAM,Fantasy FC Hero,False,True
Jamie Carragher,114605,13,14,Block,92,86,58,80,74,93,91,306000,CB,Fantasy FC Hero,False,True
Robbie Keane,114605,13,25,Quick+Step,92,92,93,85,93,50,83,410000,ST,Fantasy FC Hero,False,True
Dennis Bergkamp,112658,2118,34,First+Touch,90,83,89,84,88,35,76,72000,ST,Icon,True,False
Kai Havertz,1,13,21,,91,85,89,88,91,57,80,59000,CAM,Champions League,False,False
Chloe Kelly,1,2216,14,Press+Proven,92,92,85,90,92,50,80,49000,RW,FUT Birthday,False,False
Trent Alexander-Arnold,9,13,14,Long+Ball+Pass,92,89,83,92,90,92,87,208000,RB,FUT Birthday,False,False
Marcus Thuram,131682,31,18,Trickster,92,93,88,84,89,60,90,55000,ST,FUT Birthday,False,False
Alejandro Garnacho Ferreyra,11,13,52,,90,93,87,85,90,47,72,80000,LM,Europa League,False,False
Claudio Marchisio,114605,31,27,Tiki+Taka,92,90,86,92,91,86,87,445000,CM,World Cup Showdown,False,False
Marco van Basten,112658,2118,34,Acrobatic,91,84,92,74,87,37,73,71500,ST,Icon,True,False
Michaël Essien,112658,2118,117,Jockey,92,89,80,84,85,90,92,1240000,CDM,FUT Birthday Icon SB,True,False
Joan Capdevila Méndez,114605,53,45,Anticipate,92,91,82,87,85,92,90,0,LB,FUT Birthday Hero,False,True
Hidetoshi Nakata,114605,31,163,Technical,92,90,90,91,92,70,75,0,CAM,FUT Birthday Hero,False,True
Iñigo Martínez Berridi,241,53,45,Bruiser,92,87,70,80,78,92,92,127000,CB,FUT Birthday,False,False
Ella Toone,11,2216,14,Incisive+Pass,92,91,90,88,93,75,75,55500,CAM,FUT Birthday,False,False
Harry Maguire,11,13,14,Bruiser,92,85,70,88,83,92,93,119000,CB,FUT Birthday,False,False
Pablo Martín Páez Gavira,241,53,45,Anticipate,92,90,85,92,93,87,85,190000,CM,FUT Birthday,False,False
Wlodzimierz Smolarek,114605,19,37,Press+Proven,92,95,91,86,94,50,89,408000,ST,FUT Birthday Hero,False,True
Sidney Govou,114605,16,18,Trickster,92,93,94,87,94,61,78,556000,ST,FUT Birthday Hero,False,True
Gary Lineker,112658,2118,14,Chip+Shot,89,86,89,71,84,40,75,72500,ST,Icon,True,False
Marinette Pichon,112658,2118,18,Rapid,92,90,93,84,93,50,80,126000,ST,FUT Birthday Icon,True,False
Celia Šašić,114605,2215,21,Aerial,89,82,89,76,84,49,85,24750,ST,Base Hero,False,True
Gianluigi Buffon,112658,2118,27,Power+Shot,91,84,91,85,87,89,86,61000,CM,Winter Wildcard ICON,True,False
Lucimar da Silva Ferreira,114605,31,54,Block,89,82,72,74,77,91,89,150000,CB,Base Hero,False,True
Ibrahima Konaté,9,13,18,Anticipate,91,84,42,68,77,90,91,0,CB,Winter Champions,False,False
Jair Ventura Filho,112658,2118,54,Rapid,89,91,89,84,90,49,73,270000,RW,Icon,True,False
Kelly Smith,112658,2118,14,Dead+Ball,89,88,90,84,89,46,77,71000,ST,Icon,True,False
Wayne Rooney,112658,2118,14,Power+Shot,91,91,92,85,89,57,90,280000,ST,Thunderstruck Icon,True,False
Alessandro Del Piero,112658,2118,27,Finesse+Shot,90,83,90,87,91,41,66,73500,CAM,Icon,True,False
Frenkie de Jong,241,53,34,Tiki+Taka,91,88,80,99,91,83,85,923000,CM,Winter Wildcards,False,False
Xavier Hernández Creus,112658,2118,45,Tiki+Taka,90,80,76,92,90,69,69,71000,CM,Icon,True,False
Neymar da Silva Santos Jr.,605,350,54,First+Touch,91,91,90,88,95,41,70,1350000,ST,Winter Wildcards,False,False
Eduardo Camavinga,243,53,18,Intercept,91,86,81,88,91,84,90,400000,CDM,NumeroFUT,False,False
Alisson Ramses Becker,9,13,54,Deflector,89,86,85,85,89,56,90,23500,GK,Normal,False,False
Éder Gabriel Militão,243,53,54,Jockey,91,88,60,85,87,91,89,1140000,LB,NumeroFUT,False,False
Kyle Walker,10,13,14,Quick+Step,91,93,71,83,85,90,91,1780000,RB,NumeroFUT,False,False
Ronald Koeman,112658,2118,34,Bruiser,91,82,88,88,84,90,91,160000,CB,TOTY Icon,True,False
Marcos Aoás Corrêa,73,16,54,Aerial,90,83,62,80,77,92,87,77000,CB,Ultimate Succession,False,False
Fabio Cannavaro,112658,2118,27,Intercept,89,80,44,62,67,93,83,84000,CB,Icon,True,False
Jeremie Frimpong,32,19,34,,90,96,68,81,92,82,77,119000,RB,Champions League,False,False
Viktor Gyökeres,237,308,46,Rapid,90,93,88,75,86,43,94,36000,ST,Thunderstruck,False,False
Dominik Szoboszlai,9,13,23,Incisive+Pass,91,89,91,94,93,71,89,0,CAM,UCL Live,False,False
Daniel Olmo Carvajal,241,53,45,Tiki+Taka,91,89,91,89,91,71,89,0,CAM,UCL Live,False,False
George Best,112658,2118,35,Technical,90,91,89,82,92,56,68,163000,RW,Icon,True,False
Jamie Gittens,22,19,14,Quick+Step,91,96,88,87,93,43,74,543000,LM,Future Stars,False,False
Benjamin Šeško,112172,19,44,Aerial,91,93,91,82,90,57,91,205000,ST,Future Stars,False,False
Leny Yoro,11,13,18,Aerial,91,87,54,80,78,91,88,337000,CB,Future Stars,False,False
Bobby Moore,112658,2118,14,Anticipate,90,70,62,81,76,92,83,72500,CB,Icon,True,False
Lotta Schelin,112658,2118,46,Finesse+Shot,90,91,89,82,89,46,82,68000,ST,Icon,True,False
Andrea Pirlo,112658,2118,27,Long+Ball+Pass,90,73,79,93,89,69,66,74000,CM,Icon,True,False
João Pedro Gonçalves Neves,73,16,38,Pinged+Pass,91,90,80,87,91,86,89,696000,CM,Future Stars,False,False
Linda Caicedo,243,2222,56,Quick+Step,91,96,85,91,91,52,70,70000,LW,Future Stars,False,False
Luís Filipe Madeira Caeiro Figo,112658,2118,38,Technical,89,89,84,86,90,38,77,75500,RW,Icon,True,False
Alan Shearer,112658,2118,14,Power+Header,89,82,91,76,78,49,84,71500,ST,Icon,True,False
Bastian Schweinsteiger,112658,2118,21,Pinged+Pass,91,83,86,91,88,85,86,812200,CM,FC Pro Icon SBC,True,False
Hristo Stoichkov,112658,2118,9,Technical,89,90,91,84,90,49,84,71500,ST,Icon,True,False
Ronald Araujo,241,53,60,Block,89,86,57,72,70,89,88,189000,CB,Champions League,False,False
Tabitha Chawinga,66,2218,125,Quick+Step,91,98,88,77,92,43,87,78000,ST,Grassroot Greats,False,False
Michael Olise,21,19,18,Trickster,91,91,88,92,93,63,70,629000,RM,Grassroot Greats,False,False
Jamie Vardy,95,13,14,Quick+Step,91,99,92,85,86,66,85,458000,ST,Grassroot Greats,False,False
Marek Hamšík,114605,31,43,Power+Shot,89,85,89,89,88,78,86,146000,CAM,Prime Hero,False,True
Jaap Stam,114605,13,34,Bruiser,89,85,54,65,71,91,90,768000,CB,Prime Hero,False,True
Babajide,116332,2222,133,Trivela,91,95,90,84,89,64,87,39750,LW,Fantasy FC,False,False
Randal Kolo Muani,45,31,18,Quick+Step,91,95,91,82,91,47,76,820600,ST,Fantasy FC SBC,False,False
Darwin Núñez,9,13,60,Rapid,91,94,91,80,85,53,90,160000,ST,Fantasy FC,False,False
Benjamin Pavard,131682,31,18,Intercept,91,88,73,85,86,91,90,243000,CB,Fantasy FC,False,False
Juan Camilo Hernández Suárez,449,53,56,Quick+Step,91,92,91,82,89,51,91,37000,ST,Fantasy FC,False,False
Tim Howard,114605,13,95,Far+Throw,89,87,85,89,88,56,87,36000,GK,Prime Hero,False,True
Fridolina Rolfö,241,2222,46,Pinged+Pass,91,89,88,91,93,90,88,666000,LB,Flashback SBC,False,False
Francisco Román Alarcón Suárez,449,53,45,Trivela,91,88,84,90,91,76,78,38250,CAM,FUT Birthday,False,False
Lena Oberdorf,21,2215,21,Intercept,91,84,74,81,81,90,94,38500,CDM,FUT Birthday,False,False
Moussa Diaby,607,350,18,Quick+Step,91,99,85,82,92,53,82,212000,RM,FUT Birthday,False,False
Rabiot,219,16,18,Tiki+Taka,91,87,85,87,86,90,92,38500,CM,FUT Birthday,False,False
Jhon Durán,112139,350,56,Aerial,91,92,91,81,87,48,91,38500,ST,FUT Birthday,False,False
Ledley King,114605,13,14,Anticipate,91,88,60,75,77,92,90,213000,CB,World Cup Showdown,False,False
Emmanuel Petit,112658,2118,18,Relentless,91,85,86,90,89,87,91,184000,CM,FUT Birthday Icon,True,False
Alexandra Popp,175,2215,21,Finesse+Shot,90,83,91,80,87,54,93,34250,ST,Trailblazers,False,False
Renato Júnior Luz Sanches,234,308,38,Long+Ball+Pass,91,90,84,91,92,86,90,0,CM,FUT Birthday,False,False
Presnel Kimpembe,73,16,18,Bruiser,91,87,53,80,80,91,92,0,CB,FUT Birthday,False,False
Antônia da Costa Silva,243,2222,54,Bruiser,91,91,70,82,88,90,91,38000,RB,FUT Birthday,False,False
Yui Hasegawa,10,2216,163,Press+Proven,91,88,80,91,93,90,86,37500,CDM,FUT Birthday,False,False
Matheus Santos Carneiro Da Cunha,110,13,54,Chip+Shot,91,95,91,90,93,60,88,465000,ST,FUT Birthday,False,False
Serge Gnabry,21,19,21,Quick+Step,91,90,91,87,92,52,78,91000,RM,FUT Birthday,False,False
Wilfried Zaha,114640,39,108,Power+Shot,91,95,89,85,93,50,87,84000,LM,FUT Birthday,False,False
Ricardo Alberto Silveira Carvalho,114605,308,38,Anticipate,91,85,60,74,76,94,90,125000,CB,FUT Birthday Hero,False,True
Cristian Romero,18,13,52,,90,82,51,64,71,90,86,69000,CB,Europa League,False,False
Vivianne Miedema,10,2216,34,,90,87,89,77,90,42,85,34750,ST,Champions League,False,False
Morgan,116312,2221,95,Finesse+Shot,90,85,90,81,89,50,77,317750,ST,End of an Era SBC,False,False
Gianluigi Donnarumma,73,16,27,Deflector,89,90,84,73,90,52,87,23500,GK,Normal,False,False
Ruud van Nistelrooy,112658,2118,34,First+Touch,89,84,89,71,83,38,80,71500,ST,Icon,True,False
Thibaut Courtois,243,53,7,Rush+Out,89,85,89,76,90,46,88,22500,GK,Normal,False,False
David Ginola,114605,16,18,Technical,89,90,88,87,91,55,84,248000,LM,Base Hero,False,True
Sacha Boey,21,19,18,Technical,90,91,66,77,88,89,89,152650,RB,FC Pro SBC,False,False
Victor Osimhen,325,68,133,Power+Shot,90,92,89,68,86,45,85,72000,ST,FC Pro,False,False
Lorenzo Insigne,111651,39,27,Technical,90,91,87,89,93,48,56,35250,LW,FC Pro,False,False
Exequiel Palacios,32,19,52,Intercept,90,83,81,85,90,90,79,34500,CDM,FC Pro,False,False
Ryan Gravenberch,9,13,34,Long+Ball+Pass,90,85,88,90,93,81,85,260000,CM,FC Pro,False,False
Christopher Nkunku,5,13,18,First+Touch,90,87,87,87,92,70,73,0,CAM,Champs Mastery,False,False
Lucas Silva Melo,1824,19,54,Bruiser,90,83,62,77,84,90,90,0,CB,Champs Mastery,False,False
Olga Carmona García,243,2222,45,Whipped+Pass,90,91,82,85,88,86,82,0,LB,Champs Mastery,False,False
Axel Witsel,240,53,7,Bruiser,90,83,73,87,85,90,86,0,CB,Rivals Mastery,False,False
Hans Hateboer,74,16,34,Jockey,90,90,76,84,87,86,88,0,RB,Rivals Mastery,False,False
Danny Welbeck,1808,13,14,Power+Shot,90,86,90,85,90,58,87,0,ST,Rivals Mastery,False,False
Nathan Tella,32,19,133,Quick+Step,90,90,87,87,87,60,75,0,RM,Squad Battle Mastery,False,False
Maxence Lacroix,1799,13,18,Jockey,90,91,52,70,79,85,84,0,CB,Squad Battle Mastery,False,False
Robin Gosens,110374,31,21,Slide+Tackle,90,85,82,82,82,90,87,0,LB,Squad Battle Mastery,False,False
Kim Little,1,2216,42,Press+Proven,90,86,83,87,92,81,80,0,CM,Mode Mastery,False,False
Bukayo Saka,1,13,14,Finesse+Shot,90,90,88,86,92,66,77,502800,RW,Thunderstruck SBC,False,False
Fernando Hierro Ruiz,112658,2118,45,Bruiser,90,81,69,76,71,94,88,73000,CB,Thunderstruck Icon,True,False
Lilian Thuram,112658,2118,18,Slide+Tackle,90,90,61,79,77,92,92,1340000,RB,Thunderstruck Icon,True,False
